Library Name,Street Address,City,Zipcode,Phone Number,Website URL,Email Address,County
Adams Center Free Library,18267 State Route 177 PO Box E,Adams Center,13606-0517,315-583-5501,http://www.adamscenterfreelibrary.org,adclib@ncls.org,Jefferson
Adams Free Library,2 North Main Street,Adams,13605-1120,315-232-2265,http://www.adamsfreelibrary.org/,admlib@ncls.org,Jefferson
,PO Box 58,,,,,,
Macsherry Library,112 Walton Street,Alexandria Bay,13607-1203,315-482-2241,http://www.macsherrylibrary.org,alblib@ncls.org,Jefferson
Crosby Public Library,59 Main Street,Antwerp,13608-0120,315-659-8564,http://www.crosbylibrary.org,antlib@ncls.org,Jefferson
,PO Box 120,,,,,,
Belleville Philomathean Free Library,8086 County Route 75 PO Box 27,Belleville,13611-0027,315-846-5103,http://bellevillefreelibrary.org,bellib@ncls.org,Jefferson
Brantingham-Greig Reading Center,5186 Greig Road,Brantingham,13345,315-634-5790 Ext 6,http://bhmgreads.org,bhmlib@ncls.org,Lewis
Sally Ploof Hunter Memorial Library,101 Public Works Drive PO Box 253,Black River,13612-2102,315-773-5163,http://sallyploofhunterlibrary.org,blrlib@ncls.org,Jefferson
Brownville Glen Park Library,216 Brown Boulevard,Brownville,13615-0510,315-788-7889,http://brownvillelibrary.org,brolib@ncls.org,Jefferson
,PO Box 510,,,,,,
Badenhausen Public Library,4 Main Street,Brasher Falls,13613,315-389-5033,https://badenhausenlibrary.org/,brslib@ncls.org,St. Lawrence
Beaver Falls Library,9607 Lewis Street,Beaver Falls,13305-0075,315-346-6216,http://www.beaverfallslibrary.org,bvflib@ncls.org,Lewis
,PO Box 75,,,,,,
Canton Free Library,8 Park Street,Canton,13617-3712,315-386-3712,http://cantonfreelibrary.org,canlib@ncls.org,St. Lawrence
Carthage Free Library,412 Budd Street,Carthage,13619-1206,315-493-2620,http://www.carthagefreelibrary.org,carlib@ncls.org,Jefferson
Cape Vincent Community Library,157 North Real Street,Cape Vincent,13618,315-654-2132,http://capevincentlibrary.org,cavlib@ncls.org,Jefferson
,PO Box 283,,,,,,
Lyme Free Library,12165 Main Street,Chaumont,13622-0369,315-649-5454,http://www.lymefreelibrary.org,chalib@ncls.org,Jefferson
Hawn Memorial Library,220 John Street,Clayton,13624-1098,315-686-3762,http://www.hawnmemoriallibrary.org,clalib@ncls.org,Jefferson
Clifton Community Library,7171 State Highway 3,Cranberry Lake,12927-0678,315-848-3256,http://www.cliftoncomlib.org,clklib@ncls.org,St. Lawrence
,PO Box 678,,,,,,
Hepburn Library of Colton,84 Main Street,Colton,13625-0007,315-262-2310,http://coltonhepburnlibrary.org,collib@ncls.org,St. Lawrence
,PO Box 7,,,,,,
Croghan Free Library,9794 State Route 812 PO Box 8,Croghan,13327-0008,315-346-6521,http://croghanfreelibrary.org,crolib@ncls.org,Lewis
Central Square Library,637 South Main Street,Central Square,13036,315-668-6104,http://www.centralsquarelibrary.org,csqlib@ncls.org,Oswego
Constableville Library,3158 Main Street,Constableville,13325-0376,315-397-2801,http://cvillelibrary.org,cvllib@ncls.org,Lewis
,PO Box 376,,,,,,
Depauville Free Library,32333 County Route 179 PO Box 239,Depauville,13632-0239,315-686-3299,http://www.depauvillefreelibrary.org/,deplib@ncls.org,Jefferson
Dexter Free Library,120 East Kirby Street,Dexter,13634-0544,315-639-6785,http://www.dexterfreelibrary.org/,dexlib@ncls.org,Jefferson
,PO Box 544,,,,,,
Hepburn Library of Edwards,205 Main Street,Edwards,13635-0009,315-562-3521,http://www.hepburnlibrary.org/,edwlib@ncls.org,St. Lawrence
,PO Box 9,,,,,,
East Hounsfield Free Library,19438 State Route 3,East Hounsfield,13601-5504,315-788-0637,http://www.easthounsfieldlibrary.org/,eholib@ncls.org,Jefferson
Ellisburg Free Library,12117 State Route 193,Ellisburg,13636,315-846-5087,http://www.ellisburglibrary.org/,elllib@ncls.org,Jefferson
,PO Box 26,,,,,,
Evans Mills Public Library,8706 Noble Street,Evans Mills,13637-0240,315-629-4483,http://www.evansmillspubliclibrary.org/,evmlib@ncls.org,Jefferson
,PO Box 240,,,,,,
Fulton Public Library,160 South First Street,Fulton,13069-1720,315-592-5159,https://fultonpubliclibrary.org/,fullib@ncls.org,Oswego
Reading Room Association of Gouverneur,60 Church Street,Gouverneur,13642-1424,315-287-0191,http://www.gouverneurlibrary.org/,goulib@ncls.org,St. Lawrence
Hammond Free Library,17 Main Street,Hammond,13646-0229,315-324-5139,http://www.hammondfreelibrary.org/,hamlib@ncls.org,St. Lawrence
,PO Box 229,,,,,,
Hannibal Free Library,152 Oswego Street,Hannibal,13074-0174,315-564-5471,http://www.hannibalfreelibrary.org/,hanlib@ncls.org,Oswego
,PO Box 174,,,,,,
Harrisville Free Library,8209 Main Street,Harrisville,13648-2577,315-543-2577,http://www.harrisvillefreelibrary.org/,harlib@ncls.org,Lewis
,PO Box 207,,,,,,
Henderson Free Library,8939 State Route 178,Henderson,13650-0302,315-938-7169,http://www.hendersonfreelibrary.org/,henlib@ncls.org,Jefferson
,PO Box 302,,,,,,
Hepburn Library of Hermon,105 Main Street,Hermon,13652-0400,315-347-2285,http://www.hermonhepburnlibrary.org/,herlib@ncls.org,St. Lawrence
,PO Box A,,,,,,
Heuvelton Free Library,57 State Street,Heuvelton,13654-0346,315-344-6550,http://www.heuveltonfreelibrary.org/,heulib@ncls.org,St. Lawrence
,PO Box 346,,,,,,
Hopkinton Reading Center,7 Church Street,Hopkinton,12965,315-328-4113,http://www.hopkintonnylibrary.org/,hoplib@ncls.org,St. Lawrence
Orleans Public Library,36263 State Route 180,LaFargeville,13656-0139,315-658-2271,http://www.lafargevillelibrary.org/,laflib@ncls.org,Jefferson
,PO Box 139,,,,,,
Hepburn Library of Lisbon,6899 County Route 10,Lisbon,13658-0086,315-393-0111,http://www.hepburnlibraryoflisbon.org/,lislib@ncls.org,St. Lawrence
Lowville Free Library,5387 Dayan Street,Lowville,13367-1126,315-376-2131,http://www.lowvillefreelibrary.org/,lowlib@ncls.org,Lewis
Lyons Falls Library,3918 High Street,Lyons Falls,13368,315-348-6180,http://www.lyonsfallslibrary.org/,lyflib@ncls.org,Lewis
Hepburn Library of Madrid,11 Church Street,Madrid,13660-9801,315-322-5673,http://www.hepburnlibraryofmadrid.org/,madlib@ncls.org,St. Lawrence
,PO Box 40,,,,,,
Mannsville Free Library,108 Lilac Park Drive,Mannsville,13661-0156,315-465-4049,http://www.mannsvillelibrary.org/,manlib@ncls.org,Jefferson
,PO Box 156,,,,,,
William H Bush Memorial Library,5605 Whitaker Road,Martinsburg,13404-0141,315-376-7490,http://www.martinsburglibrary.org/,marlib@ncls.org,Lewis
,PO Box 69,,,,,,
Massena Public Library,41 Glenn Street,Massena,13662-2088,315-769-9914,http://www.massenapubliclibrary.org/,maslib@ncls.org,St. Lawrence
Mexico Public Library,3269 Main Street,Mexico,13114-0479,315-963-3012,http://www.mexicopubliclibrary.org/,mexlib@ncls.org,Oswego
,PO Box 479,,,,,,
Morley Library (Branch of Canton),7230 County Route 27,Morley,13617,315-379-0066,https://cantonfreelibrary.org/morley/,morlib@ncls.org,St. Lawrence
Morristown Public Library,200 Main Street,Morristown,13664-8833,315-375-8833,http://www.morristownpubliclibrary.org/,mtnlib@ncls.org,St. Lawrence
,PO Box 206,,,,,,
Hepburn Library of Norfolk,1 Hepburn Street,Norfolk,13667-3052,315-384-3052,http://www.hepburnlibraryofnorfolk.org/,noflib@ncls.org,St. Lawrence
,PO Box 530,,,,,,
Norwood Public Library,1 Morton Street,Norwood,13668-0206,315-353-6692,http://www.norwoodnylibrary.org/,nowlib@ncls.org,St. Lawrence
Ogdensburg Public Library,312 Washington Street,Ogdensburg,13669-1518,315-393-4325,http://www.ogdensburgpubliclibrary.org/,ogdlib@ncls.org,St. Lawrence
Cogswell Free Library,1999 County Route 2,Orwell,13426-0035,315-298-5563,http://www.cogswellfreelibrary.org/,orwlib@ncls.org,Oswego
,PO Box 35,,,,,,
Osceola Public Library,2117 North Osceola Road,Osceola,13316-5809,315-599-7122,http://www.osceolapublic.org/,osclib@ncls.org,Lewis
Oswego Public Library,120 East Second Street,Oswego,13126-5867,315-341-5867,http://www.oswegopubliclibrary.org/,oswlib@ncls.org,Oswego
Parish Public Library,3 Church Street,Parish,13131-0465,315-625-7130,http://www.parishpubliclibrary.org/,parlib@ncls.org,Oswego
,PO Box 465,,,,,,
Phoenix Public Library,34 Elm Street,Phoenix,13135-1221,315-695-4355,http://www.phoenixnylibrary.org/,phelib@ncls.org,Oswego
Bodman Memorial Library,8 Aldrich Street,Philadelphia,13673-0369,315-642-3323,http://www.bodmanmemoriallibrary.org/,philib@ncls.org,Jefferson
Port Leyden Community Library,3145 Canal Street,Port Leyden,13433-0097,315-348-6077,http://www.portleydenlibrary.org/,plylib@ncls.org,Lewis
,PO Box 97,,,,,,
Potsdam Public Library,2 Park Street,Potsdam,13676-2099,315-265-7230,http://www.potsdamlibrary.org/,potlib@ncls.org,St. Lawrence
,,,,,,,
,,,,,,info@potsdamlibrary.org,
Pulaski Public Library,4917 North Jefferson Street,Pulaski,13142-4112,315-298-2717,http://www.pulaskinypubliclibrary.org/,pullib@ncls.org,Oswego
Rensselaer Falls Library (Branch of Canton),212 Rensselaer Street,Rensselaer Falls,13680,315-344-4155,https://cantonfreelibrary.org/rensselaer-falls/,reflib@ncls.org,St. Lawrence
,PO Box 154,,,,,,
Richville Free Library,87 Main Street,Richville,13681-0042,315-287-1481,http://www.richvillefreelibrary.org/,riclib@ncls.org,St. Lawrence
,PO Box 42,,,,,,
Rodman Public Library,12509 School Street,Rodman,13682-0002,315-232-4167,http://www.rodmanpubliclibrary.org/,rodlib@ncls.org,Jefferson
,PO Box B,,,,,,
Russell Public Library,25 Pestle Street,Russell,13684-0510,315-347-2115,http://www.russellpubliclibrary.org/,ruslib@ncls.org,St. Lawrence
Hay Memorial Library,105 South Broad Street,Sackets Harbor,13685-0288,315-646-2228,http://www.haymemoriallibrary.org/,sahlib@ncls.org,Jefferson
,PO Box 288,,,,,,
Annie Porter Ainsworth Memorial Library,6064 South Main Street PO Box 69,Sandy Creek,13145-0069,315-387-3732,http://www.ainsworthmemoriallibrary.org/,scrlib@ncls.org,Oswego
Theresa Free Library,301 Main Street,Theresa,13691-2003,315-628-5972,http://www.theresafreelibrary.org/,thelib@ncls.org,Jefferson
Thousand Island Park Library,"42822 St Lawrence Park Avenue, PO Box 239",Thousand Island Park,13692-1115,315-215-4133,http://www.tiparklibrary.org/,tiplib@ncls.org,Jefferson
B Elizabeth Strong Memorial Library,6312 East Main Street,Turin,13473-0017,315-348-6433,http://www.turinlibrary.org/,turlib@ncls.org,Lewis
,PO Box 27,,,,,,
Hepburn Library of Waddington,30 Main Street,Waddington,13694-0205,315-388-4454,http://www.waddingtonlibrary.org/,wadlib@ncls.org,St. Lawrence
,PO Box 205,,,,,,
Roswell P Flower Memorial Library,229 Washington Street,Watertown,13601-3388,315-785-7705,http://www.flowermemoriallibrary.org/,watlib@ncls.org,Jefferson
Town of Lewis Library,1039 State Rt 26,West Leyden,13489,315-942-6813,http://www.westleydenlibrary.org/,wlylib@ncls.org,Lewis
Williamstown Library,2877 County Route 17 PO Box 4,Williamstown,13493-3611,315-964-2802,http://www.williamstownlibrary.org/,wmtlib@ncls.org,Oswego
